Issue Type,Issue key,Issue id,Description,Custom field (Serial Number),Custom field (Symptom),Custom field (Symptom),Custom field (Disposition),Custom field (SKU(s)),Custom field (Region),Custom field (Base SKU),Custom field (Root Cause),Custom field (Corrective Action),Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments
Bug,PCOPT-1806,2844563,"Mar 11, Leshow CN HD430 ECN-EB2 Hair Dryer Life Test ( HD-LT-IS-001)  1/4 units tested@SZ Lab, the air outlet temperature (HH/HF level) is 87.3℃ during pre-check of life test， less than the Spec 95±5℃.



Mar 15, Leshow CN HD430 ECN-EB2 Outlet Air Temperature Test( HD-LT-IS-001)  1/3 units tested@SZ Lab, the air outlet temperature (HH/HF level) is 89.1℃ ， less than the Spec 95±5℃.",HD430,,,,HD430,,HD400US,It’s a calibration issue from Leshow production line where the calibration voltage is unstable when more units are calibrating at the same time.,"Re-test the unit and the outlet temp. is 91.7℃ close to the lower side of the Spec 95±5℃. Based on experience, it’s a calibration issue from production line.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1805,2844045,"HD6051S_EB1_ Hair Care Hair Curl Endurance(Protocol number: HC-RE-IS-006)_3/3(Unit 293#+ Starightener 309#,Unit 293#+ Starightener 310# ,Unit 293#+ Starightener 311# )tested, the painting of Straightener peeled off at 5800c/s,5500c/s,5100c/s during Hair Curl Endurance test.(Spec: No paint peeled off was found after 6000 cycles)

!image-20260311-081047.png|width=686,alt=""image-20260311-081047.png""!",,,,,,,HD6000,Will not proceed as Periwinkle+Buttercream SKUs are going to EOL,No action as the Periwinkle+Buttercream SKUs are going to EOL,"Mar/11/2026 4:52 AM;5fc98f7747ac91006f0be309;[~accountid:615c5172d9820f0070af4d12] It’s a YFN painting failure in Glam Periwinkle SKUs. if this color will be EOL, you can close this ticket directly and i will remove related SKUs in the ECN",Mar/11/2026 10:06 AM;615c5172d9820f0070af4d12;[~accountid:5fc98f7747ac91006f0be309] confirming this SKU is EOL. Closing ticket. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1804,2844026,"HD6051S_ Hair Care Hair Curl Endurance(Protocol number: HC-RE-IS-006)_EB1_3/3(Unit 409#+ Starightener 394#,Unit 409#+ Starightener 395#,Unit 409#+ Starightener 396# )tested, the painting of Straightener peeled off at 5600c/s,5800c/s,5100c/s during Hair Curl Endurance test.(Spec: No paint peeled off was found after 6000 cycles)

!image-20260311-080443.png|width=686,alt=""image-20260311-080443.png""!",,,,,,,HD6000,"It’s a MP issue where existing painting supplier can only reach 3000+ cycle, but YFN can reach at least 5100+ c/s. suggest to accept","It’s a MP issue where existing painting supplier can only reach 3000+ cycle, but YFN can reach at least 5100+ c/s. suggest to accept","Mar/11/2026 5:35 AM;5fc98f7747ac91006f0be309;[~accountid:615c5172d9820f0070af4d12] Like Peony pink one, the French gold is also can reach at least 5000+ c/s which is a significant increase from MP date. suggest to close this ticket as improvement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1803,2843991,"HD6051S_ Hair Care Hair Curl Endurance(Protocol number: HC-RE-IS-006)_EB1_3/3(Unit 146#+ Starightener 257#,Unit 147#+ Starightener 258# ,Unit 148#+ Starightener 259# )tested, the painting of Straightener peeled off at 5600c/s,5200c/s,5800c/s during Hair Curl Endurance test.(Spec: No paint peeled off was found after 6000 cycles)

!image-20260311-075958.png|width=686,alt=""image-20260311-075958.png""!",,,,,,,HD6000,The failure is in the edge of the part and happened after 5000+ c/s which is better than MP level 3000+c/s,The failure is in the edge of the part and happened after 5000c/s+ which is better than MP level,"Mar/11/2026 5:27 AM;5fc98f7747ac91006f0be309;[~accountid:615c5172d9820f0070af4d12] There’re several legacy OPTs about same failure but Current MP Yajoy can only reach 3000+ c/s, The YFN can reach 5200+ c/s  which is a significant improvement. suggest to close this ticket

[https://sharkninja.atlassian.net/browse/PCOPT-1772|https://sharkninja.atlassian.net/browse/PCOPT-1772|smart-link] ",Mar/11/2026 10:13 AM;615c5172d9820f0070af4d12;[~accountid:5fc98f7747ac91006f0be309] aligned to close this ticket based on better results compared to Yajoy MP. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1802,2834427,"When you turn MP units on for the first time, out of box, there is a very high pitched sound. 

It gets better when you open and close the arms a few times, but the initial sound is very bad. 

The videos from these units are not as bad as some of the others we have heard, but attaching here for reference. I’ll keep a tab on new units and take videos of turning it on for the first time, but we need RCCA around this asap since this is the first interaction the user will have. ",,,,,,,HT400,,,"Mar/06/2026 6:37 PM;611facb7e05b7b006a146b72;[~accountid:60891091ccda29006b77ff85]Can you and the motor team please look into this and review with motor suppliers. 

I have been present for a handful of units, where the initial startup produces a high pitch that seems to dissipate over time. 

[~accountid:6124bfff0952180069d65b9d] [~accountid:712020:8b518423-012e-422c-8345-f7190602a9c5]  for awareness","Mar/09/2026 5:13 AM;60891091ccda29006b77ff85;[~accountid:611facb7e05b7b006a146b72] Suspect motor and motor housing have some resonance. I have checked 2pcs unit from SN lab, it is not obviously. I will check more motor in CDS produce line in this week. Will feedback you later.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,PCOPT-1801,2831034,"*Situations observed at elevation 6,011 feet*

HHLF: Triple flow indicator goes off early with low power draw

* [HHLF (Error).mp4|https://europro365-my.sharepoint.com/:v:/g/personal/wseddon_sharkninja_com/IQDPtYkPgbQ-RoObzpVYPcGlAdjnborm5eVMKOrSV3I907k?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=ZFJTmz]

HHMF: Triple flow indicator goes off early with low power draw

* [HHMF (Error).mp4|https://europro365-my.sharepoint.com/:v:/g/personal/wseddon_sharkninja_com/IQDlmvbolI_1S4V7-9aAgFkhARl0HF6e81Kp1XvouQ1Hi84?e=DH1gFB&nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJTdHJlYW1XZWJBcHAiLCJyZWZlcnJhbFZpZXciOiJTaGFyZURpYWxvZy1MaW5rIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXcifX0%3D]

HHHF: No error code, unit auto shuts off after 3 mins as designed

* [HHHF (No Error).mp4|https://europro365-my.sharepoint.com/:v:/g/personal/wseddon_sharkninja_com/IQDn_aYEomuNQI-IjT5Y45HcAU7hFrTG2jSVHEgDYr1ZSZU?e=rZbp2h&nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJTdHJlYW1XZWJBcHAiLCJyZWZlcnJhbFZpZXciOiJTaGFyZURpYWxvZy1MaW5rIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXcifX0%3D]

HHHF ( + Hand on filter): Immediate Temp Left LED goes off

* [HHHF Filter Restricted (Error).mp4|https://europro365-my.sharepoint.com/:v:/g/personal/wseddon_sharkninja_com/IQDsHvcgmYzwRIurdLp_CSzRAQk2L1gEgKFhX1mXrOPgKiQ?e=sb8j9P&nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJTdHJlYW1XZWJBcHAiLCJyZWZlcnJhbFZpZXciOiJTaGFyZURpYWxvZy1MaW5rIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXcifX0%3D]

*Note:* Please change video resolution to 1920x1080 if resultion is low



CORE included this as a legacy learning on TRA DFMEA under item 5.3. Closure for this item in DFMEA did not explore any altitude testing, just restricted inlet testing.

[2024.09 - Tiffany DFMEA_WIP 1.xlsx|https://europro365.sharepoint.com/:x:/s/2025SharkRoadMapInnovation/IQC325RIUhhtQKH8eK2q51hKAViFiz2EzDwT4UASh3nD_iY?e=H8sU6j]",,,,,,,HT400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1800,2821818,"HD6051STM_EB1_3/3(587#,588#,589#)tested, the painting of Straightener peeled off at 4875c/s, 4457c/s, 4280c/s during Hair Curl Endurance test.(Spec: No paint peeled off was found after 6000 cycles)

!image-20260303-030324.png|width=686,alt=""image-20260303-030324.png""!",,,,,,,HD6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1799,2814983,"HD6054SANZ_ECN-EB1__Accessory Drop Test for PRCD(GP-RE-IS-019) _2/3 (#947,#948) units, found the ""TEST"" button of PRCD has lost its function after drop test. (36"" Height)
Power cord:supply by RIFENG , ECN20250826-062000",HD6054SANZ,,,,HD6054SANZ,,HD6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1798,2814213,"Found a Broken MCH in the heated brush causing the circuit to break and giving and error for MCH. 
I tried breaking the MCH plate but couldn’t break it except from the chip that I was able to remove as soon as I opened it. ",U04ZX512Z9K3 ,,,,HD6000,,HD6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1797,2813962,"The wire harness in this unit is forming a knot causing the wires to break and creating NTC issue. 
This has Jira Issue Key : ITS-757324",R31ZX512Z0Q2 ,Damage,,,HD6000PK,,HD6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1796,2809486,"There is an issue with white wire soldering break in HD 6000 (seen in 2 units) Causing intermittent power issue. 
Need to make sure that the SOP for soldering is maintained. 
","S15ZX512A6K4 , S05ZX512A1J9 ",,,,"HD6000PK, HD6000",,HD6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1795,2809480,"5 units have the same latch issue: 
R21ZX512A2J7, U13ZW703Z9Q7, U13ZW703F4R2, Z22ZW703A2F8, R10ZW703Z4R4 
Possible due to the break in the locking mechanism. 
Can visibly see the damaged. 
some are 2-month-old and some are new. ","R21ZX512A2J7, U13ZW703Z9Q7, U13ZW703F4R2, Z22ZW703A2F8, R10ZW703Z4R4 ",Damage,,,,,HD6000,"According to the simulation analysis, the fracture of the accessory latch may have been caused by the user not following the correct accessory removal method, resulting in excessive stress on the latch and subsequent fracture. not pull the release button at first but remove the accessory directly",Update user script or design optimization if need,Feb/26/2026 12:00 AM;5d71cc04522f790d9c774905;Will check with supplier and feedback. [~accountid:5e0ec0213e586d0dafebac00]  [~accountid:712020:08115ad6-a7b1-4a91-bb58-29af71ee4ef4] ,"Feb/27/2026 10:38 PM;5d71cc04522f790d9c774905;[~accountid:712020:51f22566-5a20-4219-a611-ec50de69b9ff]  after analysis, we do not find any abnormal during process, most possible cause is user abuse, suggest to update the user script at first, if it has high defect rate, can further discuss with NPI/LPT team to see if can optimize the structure via ECN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1794,2809475,"Brushes have missing up the screws which cannot be take out from outside. 
Need to have a process to check/ inspection of the screws in the assembly. ",X5  ,Damage,,,,,HD6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1790,2806485,"[Connection_issue.pptx|https://europro365-my.sharepoint.com/:p:/g/personal/saurav_agrawal_sharkninja_com/IQCAgBlMC-q7RYikJ9DSLsx-ASWE_LE_o3OPj4_6HeR5vsc?e=OcSYHS]
 CT scan analysis revealed a key assembly defect in the pogo pin configuration:

# *Height Variation* – Inconsistent pogo pin heights observed across the assembly, suggesting non-uniform spring compression, part-to-part variation in pin length, or improper seating depth during assembly.

This height variation is likely causing intermittent or consistent error codes due to poor or inconsistent electrical contact between the pogo pins and their mating contact points.

CT scan imagery confirming height variation across pogo pin array",Attached in the description,Error Code,,,"HD6051S, HD6000PK",,HD6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,PCOPT-1789,2806390,"HD500UK_1/1(10-S-068#)tested, the unit stopped working with LED4&5&6 flashing at 89.1h(with concentrator) during unit life Test*1pc.

!image-20260223-132742.png|width=403,alt=""image-20260223-132742.png""!",,,,,,,hd500,"Why1.The unit main PCBA malfunction and report NTC open under FCT testing.

Why2.Teardown found anion wire skin broken and connected with NTC terminal J4 which cause NTC open.

Why3.Anion wire skin pitched by CN6 / CN8 / NTC1 pin leg during wiring.

Why4.This is PCBA layout protection design issue, CN6 / CN8 / NTC1 pin leg surface has no yellow glue which is anion wire wiring routine.",1.Add yellow glue to the CN8 / CN6 / NTC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1788,2783974,"h3. *Issue Description*

We have observed *4 cases* where the *SMD-NTC component was blown*, while the *fuse remained intact and did not trigger*.

----

h3. *Observed Behavior*

* SMD-NTC physically damaged / blown off PCB
* Fuse remains functional 
* Issue observed in multiple units (4 confirmed cases)

----

Initial hypotheses include:

# *Tolerance Stack-Up*
#* Possible combination of resistance tolerance and fuse rating leading to delayed fuse response
# *Component-Related Issues*
#* SMD-NTC lot variation
#* Supplier quality issue
#* Internal defect in SMD-NTC



|Serial Number |Factory code |RR number |SMD blown|fuse blown|
|U03ZW703F1S6|W7|121|Yes|No|
|S05ZX512A3K5 |X5|129|Yes|No|
|U01ZX512Z3A0 |X5|61|Yes|No|
|R11ZW703F4Q9 |W7|59|Yes|No|",Attached in the description,TSF,,,"HD6051S, HD6000PK",,HD6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1787,2782871,"HD6051S_EB1_Chemical Aging Test(Protocol number:HC-GP-IS-011)_3/3(365#, 163#,164#)tested, the top screw cap surface of ARB have small bubbles after immersing in Windex after 168H.(Spec: No dimension/ deflection/ color change.)

!image-20260210-083715.png|width=580,alt=""image-20260210-083715.png""!",,,,,,,HD6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1786,2780516,"US: 6/6pcs is 80.3/79.8/80.4/79.8/80.6/80.1 out of spec <79.6dBA

INTL: 6/6pcs is 80.2/80.9/80.1/80.7/80.9/82.5 out of spec <79.6dBA",,,,,,,HT400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1784,2775730,"HD6051S_EB1_Resistance of Graphics to Household Reagents(Protocol number: GP-ID-IS-005)_3/3(363# 364# 365#), found shark logo coating peeled off after Isopropyl alcohol test.(Spec: There shall be no removable, illegible, peeling off and smudging failure.)

!image-20260206-034417.png|width=686,alt=""image-20260206-034417.png""!",,,,,,,HD6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1783,2775729,"HD6051S_EB1_Paint and Graphics Adhesion Test(Protocol number: GP-ID-IS-001)_3/3(363# 364# 365#), found ""Straightener lock slider"" and ""Curler top cover"" coating peeled off after test.(Spec: No removed exceed 5% with retained legibility if no specification.)

!image-20260206-034211.png|width=686,alt=""image-20260206-034211.png""!

!image-20260206-034219.png|width=686,alt=""image-20260206-034219.png""!",,,,,,,HD6000,Process issue that the chemical treatment for the top pierce is not enough in timing and dosage,"For STR. sliders will improve the process to improve the adhesive force

For curlers: no need to correct as the painting is changing to molded, no more painting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1782,2775727,"HD6051S_EB1_Hair care Hair styler ABR Test(Protocol number: HC-AB-IS-004)_1/2(362#), found ""Shark"" coating bubbling at 58c/s, peeled off at 90c/s during ABR test.(Spec: 50h(100c/s) No function issue or other issue affect user experience.)

!image-20260312-015719.png|width=759,alt=""image-20260312-015719.png""!


HD6051S_EB1_Hair care Hair styler ABR Test(Protocol number: HC-AB-IS-004)1/2(362#), found ""power switch"" coating peeled off at 91c/s during ABR test.(Spec: 50h(100c/s) No function issue or other issue affect user experience.)

!image-20260312-015732.png|width=759,alt=""image-20260312-015732.png""!



HD6051S_EB1_Endurance Test 3 -Straightener lock endurance test(Protocol number: HC-RE-IS-002)_3/3(257#,258#,259#), found ""Straightener lock slider"" coating peeled off after 1800c/s,1800c/s,1800c/s during Straightener lock endurance test.(Spec: No paint peeled off and function issue)

!image-20260206-034006.png|width=672,alt=""image-20260206-034006.png""!",,,,,,,HD6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1779,2773720,"YDC CN add ​New color HD6051SPK1(ECN20251222-085952)_EB1_Hair Care Hair Curl Endurance(Protocol number: HC-RE-IS-006)_3/3(584#,585#,586#)tested, the unit stopped working with LED4&6 flashing during Hair Curl Endurance test, the data as below:
--584#: at 1220c/s, 1460c/s, 1930c/s, 2130c/s, 2290c/s, 5110c/s, 5310c/s , 5610c/s, 5420c/s, 5490c/s, 5530c/s, 5570c/s, 5630c/s
--585#: at  5637c/s.
--586#: at 2460c/s, 2920c/s, 3750c/s, 3830c/s, 3890c/s, 3910c/s, 3950c/s, 4190c/s, 4210c/s, 4280c/s, 4334c/s, 4364c/s

YDC CN add ​New color HD6051SMT&HD6052SMT(ECN20251222-085952)EB1_Hair Care Hair Curl Endurance(Protocol number: HC-RE-IS-006)_2/3(588#,589#)tested, the unit stopped working with LED4&6 flashing during Hair Curl Endurance test, the data as below:
--588#: at 330c/s, 3320c/s, 3550c/s
--589#: at 4480c/s, 4520c/s, 5170c/s",,,,,,,HD6000,,,"Mar/04/2026 3:25 AM;712020:86cb6daf-9b9d-4a41-86c0-81a061c20e39;This issue is same as [https://sharkninja.atlassian.net/browse/VAL2YDCCN-28|https://sharkninja.atlassian.net/browse/VAL2YDCCN-28|smart-link], need PD close.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
